rank,title,year,length,rating,votes
1,The Shawshank Redemption,1994,2h 22m,9.3,2.9M
2,The Godfather,1972,2h 55m,9.2,2M
3,The Dark Knight,2008,2h 32m,9.0,2.9M
4,The Godfather Part II,1974,3h 22m,9.0,1.4M
5,12 Angry Men,1957,1h 36m,9.0,862K
6,Schindler's List,1993,3h 15m,9.0,1.4M
7,The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,2M
8,Pulp Fiction,1994,2h 34m,8.9,2.2M
9,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,2M
10,"The Good, the Bad and the Ugly",1966,2h 58m,8.8,809K
11,Forrest Gump,1994,2h 22m,8.8,2.3M
12,The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,1.8M
13,Fight Club,1999,2h 19m,8.8,2.3M
14,Inception,2010,2h 28m,8.8,2.5M
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,1.4M
16,Dune: Part Two,2024,2h 46m,8.8,320K
17,The Matrix,1999,2h 16m,8.7,2M
18,Goodfellas,1990,2h 25m,8.7,1.3M
19,One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,1.1M
20,Se7en,1995,2h 7m,8.6,1.8M
21,Interstellar,2014,2h 49m,8.7,2.1M
22,It's a Wonderful Life,1946,2h 10m,8.6,498K
23,Seven Samurai,1954,3h 27m,8.6,366K
24,The Silence of the Lambs,1991,1h 58m,8.6,1.5M
25,Saving Private Ryan,1998,2h 49m,8.6,1.5M
26,City of God,2002,2h 10m,8.6,799K
27,Life Is Beautiful,1997,1h 56m,8.6,742K
28,The Green Mile,1999,3h 9m,8.6,1.4M
29,Terminator 2: Judgment Day,1991,2h 17m,8.6,1.2M
30,Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,1.4M
31,Back to the Future,1985,1h 56m,8.5,1.3M
32,Spirited Away,2001,2h 5m,8.6,846K
33,The Pianist,2002,2h 30m,8.5,909K
34,Parasite,2019,2h 12m,8.5,954K
35,Psycho,1960,1h 49m,8.5,717K
36,Spider-Man: Across the Spider-Verse,2023,2h 20m,8.6,364K
37,Gladiator,2000,2h 35m,8.5,1.6M
38,The Lion King,1994,1h 28m,8.5,1.1M
39,Léon: The Professional,1994,1h 50m,8.5,1.2M
40,The Departed,2006,2h 31m,8.5,1.4M
41,American History X,1998,1h 59m,8.5,1.2M
42,Whiplash,2014,1h 46m,8.5,985K
43,The Prestige,2006,2h 10m,8.5,1.4M
44,Grave of the Fireflies,1988,1h 29m,8.5,309K
45,Harakiri,1962,2h 13m,8.6,68K
46,The Usual Suspects,1995,1h 46m,8.5,1.1M
47,Casablanca,1942,1h 42m,8.5,605K
48,The Intouchables,2011,1h 52m,8.5,927K
49,Cinema Paradiso,1988,2h 54m,8.5,282K
50,Modern Times,1936,1h 27m,8.5,259K
51,Rear Window,1954,1h 52m,8.5,521K
52,Once Upon a Time in the West,1968,2h 46m,8.5,349K
53,Alien,1979,1h 57m,8.5,948K
54,City Lights,1931,1h 27m,8.5,196K
55,Apocalypse Now,1979,2h 27m,8.4,709K
56,Django Unchained,2012,2h 45m,8.5,1.7M
57,Memento,2000,1h 53m,8.4,1.3M
58,12th Fail,2023,2h 27m,9.0,109K
59,WALL·E,2008,1h 38m,8.4,1.2M
60,Raiders of the Lost Ark,1981,1h 55m,8.4,1M
61,The Lives of Others,2006,2h 17m,8.4,409K
62,Sunset Blvd.,1950,1h 50m,8.4,236K
63,Paths of Glory,1957,1h 28m,8.4,212K
64,Avengers: Infinity War,2018,2h 29m,8.4,1.2M
65,Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,668K
66,Witness for the Prosecution,1957,1h 56m,8.4,137K
67,The Shining,1980,2h 26m,8.4,1.1M
68,The Great Dictator,1940,2h 5m,8.4,237K
69,Aliens,1986,2h 17m,8.4,761K
70,Inglourious Basterds,2009,2h 33m,8.4,1.6M
71,The Dark Knight Rises,2012,2h 44m,8.4,1.8M
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,8.4,517K
73,American Beauty,1999,2h 2m,8.3,1.2M
74,Oldboy,2003,2h,8.3,634K
75,Coco,2017,1h 45m,8.4,588K
76,Amadeus,1984,2h 40m,8.4,427K
77,Toy Story,1995,1h 21m,8.3,1.1M
78,Das Boot,1981,2h 29m,8.4,264K
79,Braveheart,1995,2h 58m,8.3,1.1M
80,Avengers: Endgame,2019,3h 1m,8.4,1.3M
81,Joker,2019,2h 2m,8.4,1.5M
82,Princess Mononoke,1997,2h 14m,8.3,433K
83,Good Will Hunting,1997,2h 6m,8.3,1.1M
84,Your Name.,2016,1h 46m,8.4,318K
85,Once Upon a Time in America,1984,3h 49m,8.3,377K
86,High and Low,1963,2h 23m,8.4,53K
87,3 Idiots,2009,2h 50m,8.4,433K
88,Singin' in the Rain,1952,1h 43m,8.3,260K
89,Capernaum,2018,2h 6m,8.4,105K
90,Requiem for a Dream,2000,1h 42m,8.3,897K
91,Come and See,1985,2h 22m,8.4,97K
92,Oppenheimer,2023,3h,8.3,711K
93,Toy Story 3,2010,1h 43m,8.3,891K
94,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,8.3,1.1M
95,Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,1.1M
